MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Hong Kong,+08:00,POLAR,2016-08-08,4
AIA Hong Kong,+08:00,POLAR,2016-08-09,14
AIA Hong Kong,+08:00,POLAR,2016-08-10,12
AIA Hong Kong,+08:00,POLAR,2016-08-11,20
AIA Hong Kong,+08:00,POLAR,2016-08-12,1
AIA Hong Kong,+08:00,SAMSUNG,2016-08-05,17
AIA Hong Kong,+08:00,SAMSUNG,2016-08-06,8
AIA Hong Kong,+08:00,SAMSUNG,2016-08-07,4
AIA Hong Kong,+08:00,SAMSUNG,2016-08-08,118
AIA Hong Kong,+08:00,SAMSUNG,2016-08-09,373
AIA Hong Kong,+08:00,SAMSUNG,2016-08-10,325
AIA Hong Kong,+08:00,SAMSUNG,2016-08-11,339
AIA Hong Kong,+08:00,SAMSUNG,2016-08-12,19
AIA Hong Kong,+08:00,VALIDIC,2016-08-05,79
AIA Hong Kong,+08:00,VALIDIC,2016-08-06,35
AIA Hong Kong,+08:00,VALIDIC,2016-08-07,41
AIA Hong Kong,+08:00,VALIDIC,2016-08-08,1000
AIA Hong Kong,+08:00,VALIDIC,2016-08-09,2233
AIA Hong Kong,+08:00,VALIDIC,2016-08-10,1999
AIA Hong Kong,+08:00,VALIDIC,2016-08-11,2040
AIA Hong Kong,+08:00,VALIDIC,2016-08-12,134
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-05,96
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-06,57
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-07,52
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-08,151
